Meal Name,Ingrediants,Cookbook,Chef,Dish Picture
Breaded Lemon Chicken,"1+1/2 lbs boneless, skinless, chicken breasts","Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,3 tablespoons extra virgin olive oil,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,zest and juice of 1 lemon,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,Kosher salt and ground pepper,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,1/2 cup all purpose flour,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,3 tablespoons salted butter,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,"1/2 lemon, sliced","Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,3 cups cherry tomatoes,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,"4 garlic cloves, smashed","Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,2 tablespoons fresh thyme leaves,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,crushed red pepper flakes,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,"1/2 cup dry white wine, such as pinot grigio or Sauvignon Blanc","Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,1 large handful fresh basil leaves,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Broccoli Cheese Stromboli,3 tbsp olive oil,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,1 tbsp salted butter,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,2 minced garlic cloves,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,1 head of broccoli cut into florets,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,Kosher salt and ground pepper,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,all purpose flour,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,1 lbs loaf frozen bread dough,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,1/4 cup sun dried tomato pesto,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,1 cup grated cheddar cheese,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,8 slices mozzarella cheese,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,8 fresh basil leaves,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,1/4 cup grated Parmesan cheese,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Broccoli Cheese Stromboli,jarred marinara sauce,"Pioneer Woman Super Easy, p.143",Ree Drummond,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/01/03/WU2408__broccoli-cheese-stromboli_s4x3.jpg.rend.hgtvcom.1280.720.suffix/1578085492012.webp
Classic Stromboli,2 tbsp olive oil,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
